PassengerId,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,IsAlone,Total_Amenities,NoSpending,IsSleep,IsVIP,Side,Num,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T
0001_01,0.7176018589037237,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,False,-0.6486679746237808,1,-0.510540631415845,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0002_01,-0.3354002054871241,1.0865378248333124,0.13689762032511943,0.6412635694396619,1.6203041067992683,0.7552270198099083,True,-0.6486679746237808,1,-0.24836341521041513,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0003_01,2.0514044737987978,0.7499016957154093,2.1434550805341064,-0.6248885376370679,2.525888757965002,0.7937003682783101,False,-0.01456911791060339,0,3.188081699917007,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0003_02,0.2964010331473846,-0.6403720524482873,1.79380989623721,1.675294970646086,2.2720108902846277,1.288795879208839,False,-0.01456911791060339,0,1.3332491390723418,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0004_01,-0.8970013064955764,1.4600072360388692,0.8058171898380032,1.3274774628602786,1.6306817816132475,-0.23364208743037843,True,-0.6486679746237808,1,-0.12190565467654606,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0005_01,1.0686025470340064,-0.6403720524482873,1.4608506079261732,-0.6248885376370679,1.3911640290819978,-0.63481033484923,True,-0.6486679746237808,1,-0.2348270915476348,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0006_01,-0.1949999302350111,0.741455574679547,1.8558533534281108,-0.08615080967936879,-0.6632339304133921,-0.63481033484923,True,-0.01456911791060339,0,0.05371033389584112,0,0,0,1,1006,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0006_02,-0.054599654982898045,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,-0.01456911791060339,0,-0.510540631415845,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0007_01,0.43680130839949766,-0.6403720524482873,1.6263223472009685,0.4983594228784503,1.2837326864921885,-0.63481033484923,True,-0.6486679746237808,1,-0.14790964487083463,0,0,0,1,1117,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0008_01,-1.0374015817476894,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,0.619529738802574,0,-0.510540631415845,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0008_02,0.3666011707734411,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,0.619529738802574,0,-0.510540631415845,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0008_03,1.138802684660063,0.7148856807337519,2.3867122291498175,1.8545363349018393,1.0411290863325509,1.1282922446150763,True,0.619529738802574,0,2.3951381085130845,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0009_01,0.22620089552132805,0.9408987844663151,-0.6489032714011534,2.1050103673181955,-0.6632339304133921,1.0946555108985563,True,-0.6486679746237808,1,-0.044249903137437735,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0010_01,1.3494030975382325,1.77677960418283,-0.4123536323720409,1.0032830397349575,-0.6632339304133921,0.5405913847936407,False,-0.6486679746237808,1,-0.22235942501612657,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0011_01,-0.054599654982898045,0.16686646998475704,1.6998592209887022,0.3718947054608123,-0.2656498669272334,0.12451661560477828,True,-0.6486679746237808,1,-0.1532529305271953,0,0,0,0,1006,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0012_01,0.15600075789527154,0.6442101548998634,-0.6489032714011534,2.008578122077869,-0.6632339304133921,-0.63481033484923,False,-0.6486679746237808,1,-0.18709373968414617,0,0,0,1,1695,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0014_01,-0.12479979260895457,1.9901663764752653,0.9933460287912208,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,False,-0.6486679746237808,1,-0.008984217805457344,0,0,0,0,1117,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0015_01,-0.3354002054871241,-0.6403720524482873,-0.4123536323720409,-0.6248885376370679,-0.6632339304133921,1.723510500528033,False,-0.6486679746237808,1,-0.28327288149863816,0,0,0,0,1228,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0016_01,1.138802684660063,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,-0.6486679746237808,1,-0.510540631415845,1,1,0,0,1339,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0017_01,-2.020203508512481,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,-0.01456911791060339,0,-0.510540631415845,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0017_02,-1.0374015817476894,1.5725828657920538,-0.6489032714011534,-0.3555196736582183,-0.6632339304133921,1.7467910402064457,False,-0.01456911791060339,0,-0.12154943563278868,0,0,0,0,1450,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0020_01,-1.9500033708864242,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,False,2.5218263089421065,0,-0.510540631415845,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0020_02,1.419603235164289,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,False,2.5218263089421065,0,-0.510540631415845,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0020_03,0.015600482643158482,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,False,2.5218263089421065,0,-0.510540631415845,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
